county,fips,leader,leader_votes,leader_pct,second,second_votes,second_pct,total_votes,eevp,precincts_reporting_pct,last_updated,fetched_at
Telfair County,13271,Burt Jones,468,57.21,Rick Jackson,350,42.79,818,99.0,100.0,2026-06-17T02:05:52.049000Z,2026-06-17T02:45:30.677570+00:00
Terrell County,13273,Rick Jackson,304,53.33,Burt Jones,266,46.67,570,99.0,100.0,2026-06-17T02:14:41.250000Z,2026-06-17T02:45:30.677576+00:00
Thomas County,13275,Burt Jones,1839,56.24,Rick Jackson,1431,43.76,3270,99.0,100.0,2026-06-17T02:14:37.248000Z,2026-06-17T02:45:30.677581+00:00
Tift County,13277,Rick Jackson,1675,52.07,Burt Jones,1542,47.93,3217,99.0,100.0,2026-06-17T02:14:32.301000Z,2026-06-17T02:45:30.677584+00:00
Toombs County,13279,Burt Jones,1140,52.01,Rick Jackson,1052,47.99,2192,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677588+00:00
Towns County,13281,Rick Jackson,1171,52.04,Burt Jones,1079,47.96,2250,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677592+00:00
Treutlen County,13283,Burt Jones,340,55.65,Rick Jackson,271,44.35,611,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677596+00:00
Troup County,13285,Rick Jackson,3295,53.09,Burt Jones,2911,46.91,6206,99.0,100.0,2026-06-17T02:14:13.662000Z,2026-06-17T02:45:30.677601+00:00
Turner County,13287,Rick Jackson,430,62.5,Burt Jones,258,37.5,688,98.99,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677606+00:00
Twiggs County,13289,Burt Jones,335,51.38,Rick Jackson,317,48.62,652,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677610+00:00
Union County,13291,Rick Jackson,2560,53.7,Burt Jones,2207,46.3,4767,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677613+00:00
Upson County,13293,Rick Jackson,1353,52.81,Burt Jones,1209,47.19,2562,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677619+00:00
Walker County,13295,Burt Jones,2861,55.84,Rick Jackson,2263,44.16,5124,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677623+00:00
Walton County,13297,Rick Jackson,7002,56.87,Burt Jones,5311,43.13,12313,99.0,100.0,2026-06-17T02:39:53.428000Z,2026-06-17T02:45:30.677627+00:00
Ware County,13299,Burt Jones,1647,65.25,Rick Jackson,877,34.75,2524,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677631+00:00
Warren County,13301,Burt Jones,197,51.17,Rick Jackson,188,48.83,385,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677635+00:00
Washington County,13303,Rick Jackson,703,53.83,Burt Jones,603,46.17,1306,99.0,100.0,2026-06-17T02:13:54.020000Z,2026-06-17T02:45:30.677639+00:00
Wayne County,13305,Burt Jones,1486,54.94,Rick Jackson,1219,45.06,2705,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677643+00:00
Webster County,13307,Rick Jackson,180,65.69,Burt Jones,94,34.31,274,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677647+00:00
Wheeler County,13309,Rick Jackson,284,50.62,Burt Jones,277,49.38,561,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677651+00:00
White County,13311,Rick Jackson,2485,53.78,Burt Jones,2136,46.22,4621,99.0,100.0,2026-06-17T02:13:22.310000Z,2026-06-17T02:45:30.677657+00:00
Whitfield County,13313,Burt Jones,3500,52.67,Rick Jackson,3145,47.33,6645,99.0,100.0,2026-06-17T02:11:30.233000Z,2026-06-17T02:45:30.677664+00:00
Wilcox County,13315,Rick Jackson,427,54.33,Burt Jones,359,45.67,786,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677668+00:00
Wilkes County,13317,Burt Jones,520,59.09,Rick Jackson,360,40.91,880,99.0,100.0,2026-06-17T01:45:30.971000Z,2026-06-17T02:45:30.677672+00:00
Wilkinson County,13319,Burt Jones,458,55.25,Rick Jackson,371,44.75,829,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677676+00:00
Worth County,13321,Rick Jackson,881,52.41,Burt Jones,800,47.59,1681,99.0,100.0,2026-06-17T01:45:05.813000Z,2026-06-17T02:45:30.677679+00:00
